Temperature,Time
17.6,20:55:42
17.7,20:56:13
17.7,20:56:43
17.7,20:57:14
17.7,20:57:45
17.6,20:58:16
17.6,20:58:47
17.6,20:59:18
17.6,20:59:49
17.6,21:00:20
17.6,21:00:51
17.6,21:01:22
17.6,21:01:52
17.6,21:02:23
17.6,21:02:54
17.6,21:03:25
17.6,21:03:56
17.6,21:04:27
17.7,21:04:58
17.6,21:05:29
17.6,21:06:00
17.6,21:06:31
17.6,21:07:02
17.6,21:07:32
17.6,21:08:03
17.6,21:08:34
17.6,21:09:05
17.6,21:09:36
17.6,21:10:07
17.6,21:10:38
17.7,21:11:09
17.6,21:11:40
17.6,21:12:10
17.6,21:12:41
17.6,21:13:12
17.6,21:13:43
17.7,21:14:14
17.6,21:14:45
